Date,Name,Year,Letterboxd URI
2023-08-01,My Dinner with Andre,1981,https://boxd.it/1vLe
2023-08-06,The Hand of God,2021,https://boxd.it/r5uI
2023-08-07,Pather Panchali,1955,https://boxd.it/22yC
2023-08-12,Patlabor: The Movie,1989,https://boxd.it/1NPe
2023-08-12,Annihilation,2018,https://boxd.it/9yzm
2023-08-12,Hero,2002,https://boxd.it/2bcq
2023-08-12,Plan 75,2022,https://boxd.it/Ac0I
2023-09-29,Fitzcarraldo,1982,https://boxd.it/1YV8
2023-09-29,Cleopatra Wong,1978,https://boxd.it/30MY
2023-09-29,Ghost World,2001,https://boxd.it/28Dy
2023-09-29,"sex, lies, and videotape",1989,https://boxd.it/28Oc
2023-09-29,Blow-Up,1966,https://boxd.it/2966
2023-09-29,Nosferatu,1922,https://boxd.it/29TM
2023-09-29,Eating Air,1999,https://boxd.it/R6U
2023-09-29,The Face of Another,1966,https://boxd.it/1nso
2023-10-03,Shame,2011,https://boxd.it/2CxU
2023-10-03,Hellraiser,1987,https://boxd.it/1Zpi
2023-10-03,Totally Fucked Up,1993,https://boxd.it/1fg0
2023-10-04,Shoplifters,2018,https://boxd.it/ifY6
2023-10-05,A Story of Yonosuke,2013,https://boxd.it/61pM
2023-10-05,The Rocking Horsemen,1992,https://boxd.it/4evO
2023-10-05,On the Beach at Night Alone,2017,https://boxd.it/fqEK
2023-10-05,One Fine Spring Day,2001,https://boxd.it/3jFC
2023-10-05,Dolls,2002,https://boxd.it/29pi
2023-10-05,Fireworks,1997,https://boxd.it/22mQ
2023-10-05,"One Sings, the Other Doesn't",1977,https://boxd.it/98s
2023-10-06,Lingua Franca,2019,https://boxd.it/lrp4
2023-10-06,Masculin Féminin,1966,https://boxd.it/23UY
2023-10-06,Breakfast on Pluto,2005,https://boxd.it/28MU
2023-10-06,The Taste of Tea,2004,https://boxd.it/1Mse
2023-10-09,Bringing Up Baby,1938,https://boxd.it/29ks
2023-10-09,Something Wild,1986,https://boxd.it/1UbU
2023-10-09,Pink Flamingos,1972,https://boxd.it/29NO
2023-10-09,Stranger Than Paradise,1984,https://boxd.it/2ajU
2023-10-11,House of Hummingbird,2018,https://boxd.it/jZ8C
2023-10-12,Tigertail,2020,https://boxd.it/jRik
2023-10-12,Come Here,2021,https://boxd.it/tVqC
